Case,Activity,Timestamp,Resource,System
27,Check for completeness,2023-10-02 02:35:38.612,Clerk-000001,System2
27,Check for completeness,2023-10-02 03:03:30.832,Clerk-000002,System2
27,Check for completeness,2023-10-02 03:21:48.352,Clerk-000005,System2
28,Check for completeness,2023-10-02 03:49:49.031,Clerk-000006,System2
28,Check for completeness,2023-10-02 04:12:39.466,Clerk-000005,System2
29,Check for completeness,2023-10-02 05:24:14.094,Clerk-000005,System2
30,Check for completeness,2023-10-02 05:42:19.668,Clerk-000004,System2
30,Check for completeness,2023-10-02 05:57:52.363,Clerk-000001,System2
30,Check for completeness,2023-10-02 06:38:19.262,Clerk-000003,System2
30,Check for completeness,2023-10-02 06:42:10.757,Clerk-000004,System2
30,Check for completeness,2023-10-02 07:05:13.394,Clerk-000002,System2
31,Check for completeness,2023-10-02 05:48:39.561,Clerk-000006,System2
32,Check for completeness,2023-10-02 06:52:06.060,Clerk-000001,System2
33,Check for completeness,2023-10-02 07:48:55.859,Clerk-000004,System2
34,Check for completeness,2023-10-02 11:18:14.023,Clerk-000001,System2
35,Check for completeness,2023-10-02 12:27:24.477,Clerk-000002,System2
36,Check for completeness,2023-10-02 12:58:27.972,Clerk-000004,System2
36,Check for completeness,2023-10-02 13:14:21.813,Clerk-000006,System2
36,Check for completeness,2023-10-02 13:38:16.806,Clerk-000002,System2
36,Check for completeness,2023-10-02 13:46:59.078,Clerk-000006,System2
36,Check for completeness,2023-10-02 14:20:21.132,Clerk-000001,System2
37,Check for completeness,2023-10-02 13:35:00.778,Clerk-000005,System2
37,Check for completeness,2023-10-02 13:40:06.760,Clerk-000003,System2
38,Check for completeness,2023-10-02 14:52:34.683,Clerk-000005,System2
39,Check for completeness,2023-10-02 15:25:38.644,Clerk-000004,System2
39,Check for completeness,2023-10-02 15:42:21.883,Clerk-000006,System2
40,Check for completeness,2023-10-02 16:19:34.365,Clerk-000002,System2
41,Check for completeness,2023-10-02 17:33:27.778,Clerk-000003,System2
41,Check for completeness,2023-10-02 17:47:59.995,Clerk-000004,System2
41,Check for completeness,2023-10-02 18:11:44.682,Clerk-000006,System2
42,Check for completeness,2023-10-02 18:47:53.063,Clerk-000002,System2
43,Check for completeness,2023-10-02 19:09:50.801,Clerk-000003,System2
43,Check for completeness,2023-10-02 20:17:34.999,Clerk-000001,System2
43,Check for completeness,2023-10-02 20:35:08.931,Clerk-000002,System2
44,Check for completeness,2023-10-02 19:56:45.012,Clerk-000006,System2
45,Check for completeness,2023-10-02 20:18:12.238,Clerk-000002,System2
45,Check for completeness,2023-10-02 20:34:08.476,Clerk-000005,System2
45,Check for completeness,2023-10-02 20:57:30.772,Clerk-000002,System2
46,Check for completeness,2023-10-02 20:36:30.685,Clerk-000001,System2
47,Check for completeness,2023-10-02 21:24:00.837,Clerk-000003,System2
47,Check for completeness,2023-10-02 21:30:13.737,Clerk-000004,System2
47,Check for completeness,2023-10-02 21:41:09.029,Clerk-000001,System2
47,Check for completeness,2023-10-02 22:00:37.932,Clerk-000002,System2
48,Check for completeness,2023-10-02 22:12:43.742,Clerk-000005,System2
48,Check for completeness,2023-10-02 22:48:45.633,Clerk-000001,System2
48,Check for completeness,2023-10-02 23:21:30.906,Clerk-000005,System2
48,Check for completeness,2023-10-02 23:57:41.733,Clerk-000006,System2
48,Check for completeness,2023-10-03 00:17:16.375,Clerk-000002,System2
48,Check for completeness,2023-10-03 00:24:37.163,Clerk-000005,System2
48,Check for completeness,2023-10-03 00:32:21.728,Clerk-000004,System2
49,Check for completeness,2023-10-02 22:39:55.747,Clerk-000004,System2
49,Check for completeness,2023-10-02 23:24:04.056,Clerk-000001,System2
49,Check for completeness,2023-10-02 23:37:23.914,Clerk-000002,System2
50,Check for completeness,2023-10-02 22:55:08.564,Clerk-000006,System2
50,Check for completeness,2023-10-02 23:09:09.836,Clerk-000002,System2
51,Check for completeness,2023-10-02 23:25:21.967,Clerk-000006,System2
51,Check for completeness,2023-10-02 23:41:22.565,Clerk-000003,System2
51,Check for completeness,2023-10-03 00:46:36.071,Clerk-000002,System2
52,Check for completeness,2023-10-02 23:41:02.832,Clerk-000004,System2
52,Check for completeness,2023-10-03 00:06:19.346,Clerk-000004,System2
52,Check for completeness,2023-10-03 00:15:16.851,Clerk-000001,System2
52,Check for completeness,2023-10-03 00:51:08.980,Clerk-000004,System2
52,Check for completeness,2023-10-03 01:09:33.893,Clerk-000005,System2
52,Check for completeness,2023-10-03 01:29:27.796,Clerk-000004,System2
53,Check for completeness,2023-10-03 00:47:10.230,Clerk-000005,System2
54,Check for completeness,2023-10-03 00:53:16.382,Clerk-000003,System2
54,Check for completeness,2023-10-03 00:55:35.500,Clerk-000003,System2
55,Check for completeness,2023-10-03 01:23:31.507,Clerk-000001,System2
55,Check for completeness,2023-10-03 01:53:17.253,Clerk-000001,System2
56,Check for completeness,2023-10-03 01:34:01.981,Clerk-000006,System2
56,Check for completeness,2023-10-03 01:54:41.717,Clerk-000006,System2
57,Check for completeness,2023-10-03 03:00:56.688,Clerk-000005,System2
58,Check for completeness,2023-10-03 06:09:22.672,Clerk-000001,System2
58,Check for completeness,2023-10-03 06:49:05.294,Clerk-000002,System2
58,Check for completeness,2023-10-03 07:10:38.623,Clerk-000001,System2
58,Check for completeness,2023-10-03 07:16:13.150,Clerk-000006,System2
58,Check for completeness,2023-10-03 07:46:52.175,Clerk-000004,System2
59,Check for completeness,2023-10-03 06:14:45.227,Clerk-000004,System2
59,Check for completeness,2023-10-03 06:28:14.547,Clerk-000006,System2
59,Check for completeness,2023-10-03 07:09:27.436,Clerk-000003,System2
59,Check for completeness,2023-10-03 07:17:33.658,Clerk-000005,System2
59,Check for completeness,2023-10-03 07:38:52.874,Clerk-000002,System2
60,Check for completeness,2023-10-03 06:40:34.774,Clerk-000003,System2
60,Check for completeness,2023-10-03 06:57:53.221,Clerk-000004,System2
60,Check for completeness,2023-10-03 07:30:11.869,Clerk-000001,System2
61,Check for completeness,2023-10-03 06:42:09.759,Clerk-000005,System2
62,Check for completeness,2023-10-03 07:55:44.576,Clerk-000003,System2
62,Check for completeness,2023-10-03 08:10:25.876,Clerk-000006,System2
62,Check for completeness,2023-10-03 08:25:47.452,Clerk-000002,System2
62,Check for completeness,2023-10-03 09:02:01.356,Clerk-000005,System2
62,Check for completeness,2023-10-03 09:05:39.985,Clerk-000004,System2
63,Check for completeness,2023-10-03 09:28:25.273,Clerk-000001,System2
64,Check for completeness,2023-10-03 11:30:11.555,Clerk-000002,System2
65,Check for completeness,2023-10-03 13:09:28.125,Clerk-000004,System2
65,Check for completeness,2023-10-03 13:21:41.790,Clerk-000003,System2
66,Check for completeness,2023-10-03 13:31:57.918,Clerk-000006,System2
67,Check for completeness,2023-10-03 15:42:18.428,Clerk-000005,System2
68,Check for completeness,2023-10-03 17:09:00.433,Clerk-000003,System2
68,Check for completeness,2023-10-03 17:42:08.791,Clerk-000006,System2
69,Check for completeness,2023-10-03 18:08:59.269,Clerk-000005,System2
70,Check for completeness,2023-10-03 18:59:43.619,Clerk-000003,System2
70,Check for completeness,2023-10-03 19:55:49.365,Clerk-000002,System2
71,Check for completeness,2023-10-03 19:51:33.709,Clerk-000006,System2
71,Check for completeness,2023-10-03 20:06:09.251,Clerk-000004,System2
71,Check for completeness,2023-10-03 20:27:37.066,Clerk-000003,System2
71,Check for completeness,2023-10-03 21:05:53.578,Clerk-000001,System2
72,Check for completeness,2023-10-03 21:46:46.157,Clerk-000002,System2
72,Check for completeness,2023-10-03 22:25:54.700,Clerk-000005,System2
72,Check for completeness,2023-10-03 22:51:46.637,Clerk-000001,System2
73,Check for completeness,2023-10-03 22:49:18.728,Clerk-000003,System2
73,Check for completeness,2023-10-03 23:09:20.001,Clerk-000004,System2
73,Check for completeness,2023-10-03 23:23:19.416,Clerk-000003,System2
73,Check for completeness,2023-10-04 00:04:24.742,Clerk-000002,System2
74,Check for completeness,2023-10-03 23:04:29.496,Clerk-000002,System2
74,Check for completeness,2023-10-03 23:31:00.919,Clerk-000001,System2
74,Check for completeness,2023-10-03 23:56:07.076,Clerk-000005,System2
74,Check for completeness,2023-10-04 00:30:29.921,Clerk-000006,System2
75,Check for completeness,2023-10-03 23:33:12.127,Clerk-000006,System2
76,Check for completeness,2023-10-04 00:23:30.377,Clerk-000001,System2
76,Check for completeness,2023-10-04 00:30:38.851,Clerk-000004,System2
76,Check for completeness,2023-10-04 01:22:33.047,Clerk-000006,System2
76,Check for completeness,2023-10-04 01:29:22.110,Clerk-000004,System2
76,Check for completeness,2023-10-04 01:33:05.636,Clerk-000006,System2
76,Check for completeness,2023-10-04 02:28:52.343,Clerk-000003,System2
76,Check for completeness,2023-10-04 03:29:38.603,Clerk-000002,System2
76,Check for completeness,2023-10-04 03:55:16.795,Clerk-000003,System2
76,Check for completeness,2023-10-04 04:06:06.229,Clerk-000005,System2
77,Check for completeness,2023-10-04 00:41:36.729,Clerk-000001,System2
77,Check for completeness,2023-10-04 00:58:37.660,Clerk-000002,System2
78,Check for completeness,2023-10-04 01:15:42.521,Clerk-000001,System2
78,Check for completeness,2023-10-04 01:30:45.837,Clerk-000003,System2
79,Check for completeness,2023-10-04 01:36:34.384,Clerk-000002,System2
80,Check for completeness,2023-10-04 02:58:46.148,Clerk-000001,System2
81,Check for completeness,2023-10-04 03:30:24.276,Clerk-000006,System2
82,Check for completeness,2023-10-04 03:45:44.767,Clerk-000001,System2
82,Check for completeness,2023-10-04 03:54:43.366,Clerk-000004,System2
82,Check for completeness,2023-10-04 04:30:24.133,Clerk-000002,System2
83,Check for completeness,2023-10-04 04:04:50.273,Clerk-000006,System2
83,Check for completeness,2023-10-04 04:49:01.609,Clerk-000003,System2
84,Check for completeness,2023-10-04 04:52:17.556,Clerk-000002,System2
85,Check for completeness,2023-10-04 05:13:16.935,Clerk-000005,System2
85,Check for completeness,2023-10-04 05:47:59.075,Clerk-000001,System2
85,Check for completeness,2023-10-04 06:18:01.402,Clerk-000003,System2
86,Check for completeness,2023-10-04 05:48:19.071,Clerk-000006,System2
87,Check for completeness,2023-10-04 05:49:09.751,Clerk-000002,System2
88,Check for completeness,2023-10-04 05:54:38.179,Clerk-000004,System2
88,Check for completeness,2023-10-04 06:26:30.333,Clerk-000003,System2
88,Check for completeness,2023-10-04 07:53:37.356,Clerk-000001,System2
88,Check for completeness,2023-10-04 08:04:02.189,Clerk-000006,System2
89,Check for completeness,2023-10-04 06:05:18.377,Clerk-000002,System2
89,Check for completeness,2023-10-04 06:09:43.338,Clerk-000004,System2
90,Check for completeness,2023-10-04 06:15:32.028,Clerk-000002,System2
90,Check for completeness,2023-10-04 06:45:56.771,Clerk-000002,System2
90,Check for completeness,2023-10-04 07:03:23.735,Clerk-000001,System2
91,Check for completeness,2023-10-04 06:31:11.643,Clerk-000006,System2
91,Check for completeness,2023-10-04 06:52:52.535,Clerk-000004,System2
91,Check for completeness,2023-10-04 07:07:10.680,Clerk-000006,System2
92,Check for completeness,2023-10-04 07:21:11.490,Clerk-000004,System2
92,Check for completeness,2023-10-04 07:32:55.684,Clerk-000002,System2
92,Check for completeness,2023-10-04 07:56:24.526,Clerk-000003,System2
92,Check for completeness,2023-10-04 08:21:07.153,Clerk-000005,System2
93,Check for completeness,2023-10-04 09:31:32.464,Clerk-000001,System2
93,Check for completeness,2023-10-04 09:57:03.891,Clerk-000004,System2
93,Check for completeness,2023-10-04 10:06:06.129,Clerk-000002,System2
93,Check for completeness,2023-10-04 11:12:19.845,Clerk-000005,System2
93,Check for completeness,2023-10-04 11:33:08.497,Clerk-000002,System2
93,Check for completeness,2023-10-04 11:57:12.958,Clerk-000001,System2
93,Check for completeness,2023-10-04 12:33:45.003,Clerk-000006,System2
94,Check for completeness,2023-10-04 09:37:51.366,Clerk-000006,System2
94,Check for completeness,2023-10-04 09:52:41.336,Clerk-000003,System2
94,Check for completeness,2023-10-04 10:03:04.874,Clerk-000005,System2
94,Check for completeness,2023-10-04 10:52:54.585,Clerk-000001,System2
94,Check for completeness,2023-10-04 11:03:16.904,Clerk-000004,System2
95,Check for completeness,2023-10-04 11:44:34.245,Clerk-000006,System2
95,Check for completeness,2023-10-04 12:05:19.289,Clerk-000003,System2
95,Check for completeness,2023-10-04 12:08:21.119,Clerk-000005,System2
95,Check for completeness,2023-10-04 12:29:56.361,Clerk-000002,System2
96,Check for completeness,2023-10-04 13:15:27.194,Clerk-000005,System2
96,Check for completeness,2023-10-04 13:20:01.256,Clerk-000004,System2
96,Check for completeness,2023-10-04 13:28:45.016,Clerk-000006,System2
96,Check for completeness,2023-10-04 13:50:06.286,Clerk-000001,System2
97,Check for completeness,2023-10-04 14:18:44.672,Clerk-000003,System2
98,Check for completeness,2023-10-04 18:26:47.685,Clerk-000004,System2
98,Check for completeness,2023-10-04 19:12:22.827,Clerk-000006,System2
99,Check for completeness,2023-10-04 19:15:58.933,Clerk-000002,System2
99,Check for completeness,2023-10-04 19:30:57.290,Clerk-000003,System2
99,Check for completeness,2023-10-04 19:45:39.446,Clerk-000005,System2
100,Check for completeness,2023-10-04 19:55:31.018,Clerk-000004,System2
101,Check for completeness,2023-10-04 20:15:16.017,Clerk-000002,System2
102,Check for completeness,2023-10-04 21:14:24.966,Clerk-000005,System2
102,Check for completeness,2023-10-04 21:37:27.505,Clerk-000004,System2
102,Check for completeness,2023-10-04 21:45:42.692,Clerk-000001,System2
102,Check for completeness,2023-10-04 22:18:52.305,Clerk-000002,System2
102,Check for completeness,2023-10-04 22:21:43.420,Clerk-000003,System2
102,Check for completeness,2023-10-04 22:55:14.164,Clerk-000006,System2
102,Check for completeness,2023-10-04 23:06:26.110,Clerk-000001,System2
103,Check for completeness,2023-10-04 22:59:58.906,Clerk-000005,System2
104,Check for completeness,2023-10-04 23:05:03.426,Clerk-000004,System2
104,Check for completeness,2023-10-04 23:21:07.214,Clerk-000006,System2
104,Check for completeness,2023-10-04 23:52:17.092,Clerk-000001,System2
104,Check for completeness,2023-10-05 00:07:14.224,Clerk-000004,System2
104,Check for completeness,2023-10-05 00:24:39.337,Clerk-000001,System2
105,Check for completeness,2023-10-04 23:12:10.570,Clerk-000003,System2
105,Check for completeness,2023-10-04 23:23:44.112,Clerk-000001,System2
105,Check for completeness,2023-10-04 23:53:19.190,Clerk-000005,System2
105,Check for completeness,2023-10-05 00:10:11.643,Clerk-000005,System2
105,Check for completeness,2023-10-05 00:12:30.949,Clerk-000001,System2
106,Check for completeness,2023-10-04 23:33:54.247,Clerk-000004,System2
106,Check for completeness,2023-10-05 00:14:07.988,Clerk-000003,System2
107,Check for completeness,2023-10-04 23:37:09.280,Clerk-000003,System2
108,Check for completeness,2023-10-04 23:43:29.680,Clerk-000002,System2
108,Check for completeness,2023-10-05 00:03:34.206,Clerk-000002,System2
108,Check for completeness,2023-10-05 00:33:28.412,Clerk-000003,System2
109,Check for completeness,2023-10-04 23:51:10.575,Clerk-000003,System2
109,Check for completeness,2023-10-05 00:13:56.626,Clerk-000006,System2
109,Check for completeness,2023-10-05 00:48:00.977,Clerk-000005,System2
110,Check for completeness,2023-10-05 00:56:52.320,Clerk-000003,System2
111,Check for completeness,2023-10-05 01:02:25.994,Clerk-000006,System2
111,Check for completeness,2023-10-05 01:27:54.571,Clerk-000002,System2
111,Check for completeness,2023-10-05 01:49:44.476,Clerk-000001,System2
112,Check for completeness,2023-10-05 02:04:41.347,Clerk-000003,System2
112,Check for completeness,2023-10-05 02:23:57.337,Clerk-000004,System2
112,Check for completeness,2023-10-05 03:21:55.937,Clerk-000006,System2
112,Check for completeness,2023-10-05 03:51:55.067,Clerk-000005,System2
113,Check for completeness,2023-10-05 02:53:07.361,Clerk-000005,System2
113,Check for completeness,2023-10-05 03:42:44.947,Clerk-000004,System2
114,Check for completeness,2023-10-05 03:09:09.812,Clerk-000003,System2
115,Check for completeness,2023-10-05 05:34:16.768,Clerk-000001,System2
115,Check for completeness,2023-10-05 05:51:39.501,Clerk-000004,System2
115,Check for completeness,2023-10-05 06:40:01.417,Clerk-000005,System2
116,Check for completeness,2023-10-05 06:30:08.183,Clerk-000002,System2
116,Check for completeness,2023-10-05 06:45:56.548,Clerk-000001,System2
116,Check for completeness,2023-10-05 07:03:43.235,Clerk-000004,System2
117,Check for completeness,2023-10-05 09:47:19.521,Clerk-000005,System2
117,Check for completeness,2023-10-05 10:13:56.623,Clerk-000002,System2
117,Check for completeness,2023-10-05 10:32:30.217,Clerk-000004,System2
118,Check for completeness,2023-10-05 10:23:21.812,Clerk-000001,System2
119,Check for completeness,2023-10-05 11:50:14.037,Clerk-000005,System2
120,Check for completeness,2023-10-05 11:57:17.276,Clerk-000002,System2
120,Check for completeness,2023-10-05 12:09:25.379,Clerk-000001,System2
121,Check for completeness,2023-10-05 12:50:23.575,Clerk-000003,System2
122,Check for completeness,2023-10-05 13:21:53.571,Clerk-000002,System2
122,Check for completeness,2023-10-05 13:25:31.873,Clerk-000004,System2
123,Check for completeness,2023-10-05 13:58:49.508,Clerk-000006,System2
124,Check for completeness,2023-10-05 14:52:00.009,Clerk-000005,System2
124,Check for completeness,2023-10-05 15:04:06.890,Clerk-000002,System2
124,Check for completeness,2023-10-05 15:28:55.169,Clerk-000004,System2
125,Check for completeness,2023-10-05 17:17:49.440,Clerk-000006,System2
125,Check for completeness,2023-10-05 17:36:32.514,Clerk-000004,System2
125,Check for completeness,2023-10-05 17:48:55.626,Clerk-000001,System2
126,Check for completeness,2023-10-05 17:23:33.802,Clerk-000003,System2
126,Check for completeness,2023-10-05 18:52:37.253,Clerk-000001,System2
127,Check for completeness,2023-10-05 17:58:17.449,Clerk-000005,System2
127,Check for completeness,2023-10-05 18:18:25.852,Clerk-000003,System2
127,Check for completeness,2023-10-05 18:29:22.276,Clerk-000002,System2
127,Check for completeness,2023-10-05 19:02:07.080,Clerk-000005,System2
128,Check for completeness,2023-10-05 20:45:38.308,Clerk-000002,System2
128,Check for completeness,2023-10-05 20:54:02.517,Clerk-000004,System2
128,Check for completeness,2023-10-05 21:17:26.824,Clerk-000001,System2
128,Check for completeness,2023-10-05 21:30:31.521,Clerk-000006,System2
129,Check for completeness,2023-10-05 21:37:32.877,Clerk-000003,System2
130,Check for completeness,2023-10-05 23:59:01.997,Clerk-000004,System2
130,Check for completeness,2023-10-06 00:15:46.890,Clerk-000001,System2
130,Check for completeness,2023-10-06 00:28:46.347,Clerk-000006,System2
130,Check for completeness,2023-10-06 00:49:06.412,Clerk-000005,System2
131,Check for completeness,2023-10-06 00:50:29.769,Clerk-000003,System2
131,Check for completeness,2023-10-06 01:24:41.167,Clerk-000004,System2
131,Check for completeness,2023-10-06 01:35:21.601,Clerk-000001,System2
131,Check for completeness,2023-10-06 01:58:58.335,Clerk-000005,System2
132,Check for completeness,2023-10-06 01:47:12.596,Clerk-000006,System2
133,Check for completeness,2023-10-06 02:20:16.728,Clerk-000004,System2
133,Check for completeness,2023-10-06 02:51:22.169,Clerk-000006,System2
134,Check for completeness,2023-10-06 02:38:57.585,Clerk-000001,System2
134,Check for completeness,2023-10-06 03:07:17.988,Clerk-000005,System2
134,Check for completeness,2023-10-06 04:08:49.943,Clerk-000004,System2
134,Check for completeness,2023-10-06 04:39:28.090,Clerk-000003,System2
135,Check for completeness,2023-10-06 04:22:07.549,Clerk-000006,System2
135,Check for completeness,2023-10-06 04:45:44.809,Clerk-000005,System2
136,Check for completeness,2023-10-06 05:15:37.901,Clerk-000001,System2
137,Check for completeness,2023-10-06 06:41:51.071,Clerk-000003,System2
137,Check for completeness,2023-10-06 06:44:35.102,Clerk-000005,System2
137,Check for completeness,2023-10-06 07:28:55.300,Clerk-000002,System2
138,Check for completeness,2023-10-06 08:37:02.730,Clerk-000001,System2
139,Check for completeness,2023-10-06 10:09:37.623,Clerk-000003,System2
140,Check for completeness,2023-10-06 11:49:14.009,Clerk-000002,System2
140,Check for completeness,2023-10-06 11:52:35.760,Clerk-000004,System2
140,Check for completeness,2023-10-06 12:06:38.172,Clerk-000003,System2
140,Check for completeness,2023-10-06 12:12:44.280,Clerk-000005,System2
140,Check for completeness,2023-10-06 12:34:50.657,Clerk-000002,System2
140,Check for completeness,2023-10-06 13:30:52.279,Clerk-000002,System2
140,Check for completeness,2023-10-06 13:51:00.579,Clerk-000003,System2
140,Check for completeness,2023-10-06 14:14:02.273,Clerk-000001,System2
141,Check for completeness,2023-10-06 11:54:26.916,Clerk-000001,System2
141,Check for completeness,2023-10-06 12:03:24.188,Clerk-000006,System2
141,Check for completeness,2023-10-06 12:50:38.314,Clerk-000004,System2
141,Check for completeness,2023-10-06 13:16:02.495,Clerk-000006,System2
141,Check for completeness,2023-10-06 13:26:09.327,Clerk-000005,System2
142,Check for completeness,2023-10-06 17:00:08.380,Clerk-000005,System2
142,Check for completeness,2023-10-06 17:02:44.307,Clerk-000002,System2
142,Check for completeness,2023-10-06 17:21:51.406,Clerk-000003,System2
142,Check for completeness,2023-10-06 17:45:24.292,Clerk-000004,System2
142,Check for completeness,2023-10-06 17:51:24.197,Clerk-000001,System2
142,Check for completeness,2023-10-06 17:54:50.925,Clerk-000005,System2
142,Check for completeness,2023-10-06 18:10:10.840,Clerk-000002,System2
142,Check for completeness,2023-10-06 18:47:24.607,Clerk-000002,System2
142,Check for completeness,2023-10-06 19:13:07.307,Clerk-000001,System2
142,Check for completeness,2023-10-06 19:19:16.277,Clerk-000006,System2
143,Check for completeness,2023-10-06 17:51:43.410,Clerk-000006,System2
143,Check for completeness,2023-10-06 18:14:26.510,Clerk-000003,System2
143,Check for completeness,2023-10-06 18:56:00.376,Clerk-000006,System2
143,Check for completeness,2023-10-06 19:02:27.169,Clerk-000003,System2
144,Check for completeness,2023-10-06 18:17:20.857,Clerk-000004,System2
144,Check for completeness,2023-10-06 18:29:50.825,Clerk-000006,System2
144,Check for completeness,2023-10-06 18:32:52.697,Clerk-000001,System2
144,Check for completeness,2023-10-06 18:36:26.651,Clerk-000005,System2
145,Check for completeness,2023-10-06 19:14:16.353,Clerk-000004,System2
145,Check for completeness,2023-10-06 19:34:26.771,Clerk-000003,System2
145,Check for completeness,2023-10-06 19:53:56.295,Clerk-000004,System2
145,Check for completeness,2023-10-06 20:43:35.407,Clerk-000006,System2
145,Check for completeness,2023-10-06 20:58:37.587,Clerk-000005,System2
145,Check for completeness,2023-10-06 21:37:17.152,Clerk-000004,System2
145,Check for completeness,2023-10-06 22:36:07.386,Clerk-000001,System2
146,Check for completeness,2023-10-06 21:03:00.225,Clerk-000002,System2
146,Check for completeness,2023-10-06 21:25:38.384,Clerk-000003,System2
146,Check for completeness,2023-10-06 21:41:25.506,Clerk-000001,System2
146,Check for completeness,2023-10-06 21:51:52.760,Clerk-000006,System2
146,Check for completeness,2023-10-06 21:54:58.754,Clerk-000002,System2
146,Check for completeness,2023-10-06 22:14:52.196,Clerk-000005,System2
146,Check for completeness,2023-10-06 22:29:49.657,Clerk-000003,System2
146,Check for completeness,2023-10-06 23:05:18.004,Clerk-000002,System2
146,Check for completeness,2023-10-06 23:47:10.580,Clerk-000001,System2
